來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
資策會,1,3,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1,,-,-,2,,,,,,,,
資策會,123,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=123,,-,-,1,,,,,,,,
資策會,1234,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1234,,-,-,1,,,,,,,,
工研院,A372000200,晶鏈高峰論壇活動辦理,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=10FDEDD9-F9E8-432A-ADA7-A5C9C86F2654,,115/07/28,115/08/06,P,,,,,,,,
工研院,A512003254,委託製作TSMC 16nm MPW,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=B1DEE129-E373-496F-8705-59B7EAE7A968,,115/07/27,115/08/19,P,,,,,,,,
工研院,A522001459,共通算力運算環境建置,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=1BFFC1F6-4732-45CD-8E5D-C4390F4C5CF5,,115/07/28,115/08/05,P,,,,,,,,
工研院,A522001466,AI伺服器及獨立式防火牆,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=58E337A8-F30F-4E8F-B6B9-16DB341194FF,,115/07/27,115/08/05,P,,,,,,,,
工研院,A532004192,58館1樓男廁整修,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=F61DC04E-FF8B-4CA3-863F-15D51D9E4DCD,,115/07/27,115/08/03,P,,,,,,,,
工研院,A552003667,BA2-7594純冷媒潤滑軸承,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=A0395048-E184-4E42-A1E7-4DD690E41ED0,,115/07/28,115/08/06,P,,,,,,,,
工研院,A552003820,64館201會議室整修,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=4D18A556-FCB0-4329-BCDB-568A0EFD9143,,115/07/29,115/08/03,P,,,,,,,,
工研院,A562002165,115年臺灣學名藥產業政策協作委託服務,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=BEAA434B-F6C2-4876-82A2-CEE759B79059,,115/07/29,115/08/12,P,,,,,,,,
工研院,A562002212,Aranesp,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=FB291298-C9F9-4497-95DF-4CDEBE2F00D8,,115/07/28,115/08/07,P,,,,,,,,
